#file	clusteren	cluster-cluster
526_seed.data	-905.688679535897	-531.663683108624
527_seed.data	-1337.72598955983	-592.102674944144
528_seed.data	-824.691421142389	-359.913557661075
529_seed.data	-868.878628787079	-501.124879179238
530_seed.data	-863.526202996843	-399.355244917645
531_seed.data	-1026.11887928925	-391.758660362257
532_seed.data	-871.129453810486	-381.824331749007
533_seed.data	-858.23406294845	-339.589127863163
534_seed.data	-977.885895188092	-544.357405928644
535_seed.data	-958.263207430625	-406.731088183862
536_seed.data	-1243.86063536089	-619.082037830052
537_seed.data	-1268.66313477218	-561.408462500387
538_seed.data	-864.83524611601	-378.647531082919
539_seed.data	-1090.79635207295	-431.104611674342
540_seed.data	-935.48407417563	-383.860733212616
541_seed.data	-921.409799242209	-327.362872134984
542_seed.data	-934.520090738063	-403.532990191851
543_seed.data	-869.346639768508	-323.695378377736
544_seed.data	-899.823456369033	-386.471841963062
545_seed.data	-950.540379382294	-397.854652986567
546_seed.data	-985.791347264778	-520.693515032553
547_seed.data	-1234.96773554042	-423.617143170165
548_seed.data	-1225.3302819037	-493.47634188243
549_seed.data	-952.837932058861	-405.763499315647
550_seed.data	-886.811290030882	-376.067182148176
551_seed.data	-871.734567756633	-278.825837499064
552_seed.data	-868.688039102062	-386.656564624265
553_seed.data	-1094.3922098354	-506.143640918364
554_seed.data	-814.892110056378	-310.016395509894
555_seed.data	-817.490662575652	-375.943008399154
556_seed.data	-1001.98853373124	-480.235243274611
557_seed.data	-851.791993085109	-236.534712327055
558_seed.data	-1354.45789805703	-577.700299189881
559_seed.data	-1056.40230432402	-399.262312385744
560_seed.data	-1390.75933369737	-670.084415786493
561_seed.data	-1103.09048421435	-461.717742847348
562_seed.data	-836.999963969143	-388.494535106887
563_seed.data	-857.250170771546	-403.740245755904
564_seed.data	-1051.42381846235	-470.432815027448
565_seed.data	-1034.76766880152	-439.987375702201
566_seed.data	-1371.49251186184	-687.981004882946
567_seed.data	-1007.2591105996	-391.848546605419
568_seed.data	-1184.22258459054	-496.058691024377
569_seed.data	-1357.38684859137	-550.956107358722
570_seed.data	-1180.81018025113	-660.078473193727
571_seed.data	-1139.775913697	-502.725802657614
572_seed.data	-987.839269092723	-404.777298397024
573_seed.data	-826.344242282391	-306.275905776506
574_seed.data	-834.49337116565	-273.654498407399
575_seed.data	-1006.83660596087	-522.137494192442
576_seed.data	-831.851373973784	-313.810473715459
577_seed.data	-958.947214258343	-395.524766926051
578_seed.data	-1110.72936638761	-461.643674587401
579_seed.data	-1175.33328057207	-626.546057221105
580_seed.data	-838.904459060555	-337.283299493354
581_seed.data	-986.182257564518	-435.294142362363
582_seed.data	-855.956607193774	-332.250748154866
583_seed.data	-1099.37236543919	-470.417839606258
584_seed.data	-919.806821822861	-314.88166012927
585_seed.data	-1099.75175192019	-468.215507073484
586_seed.data	-900.011494995223	-418.381704655229
587_seed.data	-1155.89317324071	-502.922460337171
588_seed.data	-1166.38537836975	-400.462145802809
589_seed.data	-968.027201127981	-392.948479149621
590_seed.data	-1257.88821005324	-509.174017752453
591_seed.data	-1063.08855677632	-395.637069574488
592_seed.data	-1074.27687245476	-506.905396251639
593_seed.data	-1116.71509814644	-459.676924804432
