#file	clusteren	cluster-cluster
466_seed.data	-1868.71120349079	-1129.92074768008
467_seed.data	-1689.06846532131	-1053.52543351989
468_seed.data	-2006.2847877582	-1314.86021130278
469_seed.data	-1664.53651986068	-989.781585587717
470_seed.data	-1911.71035131737	-1279.37456500779
471_seed.data	-1915.32503398583	-1187.89904348759
472_seed.data	-1844.92476215326	-1108.3579158279
473_seed.data	-1874.87110857114	-1229.84215162732
474_seed.data	-1791.74917250778	-1110.87848080767
475_seed.data	-1537.61019628477	-941.86023908575
476_seed.data	-1793.5965631876	-1122.71403934771
477_seed.data	-1803.75948837704	-1077.19515818411
478_seed.data	-1755.33348681392	-1112.69364890393
479_seed.data	-1856.3717860586	-1190.49863349504
480_seed.data	-1576.44984345309	-867.022356425591
481_seed.data	-1901.59931725403	-1193.24349654835
482_seed.data	-1751.61233139135	-1136.02458979319
483_seed.data	-1808.03002537651	-1153.64202724452
484_seed.data	-1845.51888662243	-1164.31578376076
485_seed.data	-1526.52288045649	-1029.98334527677
486_seed.data	-1678.10708290846	-995.754325834895
487_seed.data	-1715.73442805531	-1170.11239115832
488_seed.data	-1994.677666129	-1336.46757952516
489_seed.data	-1516.27714718199	-991.297772424461
490_seed.data	-1814.2606024837	-1109.3714536138
491_seed.data	-1907.06253732801	-1323.15744016771
492_seed.data	-1907.60490372386	-1050.82492369862
493_seed.data	-1664.38913811611	-1037.84542245971
494_seed.data	-1813.78806359904	-1141.97670655709
495_seed.data	-1884.44584836558	-1131.2563705781
496_seed.data	-1819.50931150977	-1122.17765880539
497_seed.data	-1856.82554223913	-946.672813782271
498_seed.data	-1946.49326303297	-1204.3664875281
499_seed.data	-1859.51223289405	-1182.59899329047
500_seed.data	-1644.6765618029	-940.95145586983
501_seed.data	-1529.02097356892	-987.864712202439
502_seed.data	-1582.96879976463	-878.09823592927
503_seed.data	-1538.08753802595	-984.752718524195
504_seed.data	-1670.41238816442	-1106.92335030508
505_seed.data	-1657.58363179325	-1065.23446116795
506_seed.data	-1649.16422471589	-892.664315243965
507_seed.data	-1686.97913153748	-833.306929154043
508_seed.data	-1843.5412529343	-1193.86969014649
509_seed.data	-1632.4045511697	-843.102528227368
510_seed.data	-1747.99827316465	-1056.27666259942
511_seed.data	-1974.88665223806	-1311.75110893759
512_seed.data	-1524.08266695533	-887.012782579134
513_seed.data	-1497.10857963894	-1002.72182964303
514_seed.data	-1877.98585104148	-1164.2224903216
515_seed.data	-1657.12192821115	-892.194976337285
516_seed.data	-1946.37040312565	-1266.8345022748
517_seed.data	-1687.64373269535	-1117.54781401361
518_seed.data	-1924.1778393714	-983.517225910449
519_seed.data	-1847.25175491591	-990.0827779762
520_seed.data	-1645.3073488296	-1027.22837332427
521_seed.data	-1581.35940396779	-1015.59432333549
522_seed.data	-1786.17992788709	-1073.95090573948
523_seed.data	-1821.80580557686	-1111.35585066829
524_seed.data	-1702.85116584789	-1142.46198949627
525_seed.data	-1908.18831892226	-1197.34370594015
526_seed.data	-1590.60904083632	-1001.20734283167
527_seed.data	-1850.34754578824	-1184.95159674024
528_seed.data	-1666.88510603557	-978.53287573061
529_seed.data	-1881.1423015049	-1167.98975206425
530_seed.data	-1937.85074834821	-1253.70967011382
531_seed.data	-1941.53534691405	-1278.6896402456
532_seed.data	-1711.75124966425	-1112.44866313241
533_seed.data	-1806.77671962256	-1072.7622245444
534_seed.data	-1744.03849851734	-1051.76212283517
535_seed.data	-1574.8686393749	-940.10863363195
536_seed.data	-1949.71950568609	-1075.86553634678
537_seed.data	-1785.34652792886	-1153.89165039902
538_seed.data	-1581.79780603105	-986.583026916947
539_seed.data	-1814.21395128469	-1210.70332897413
540_seed.data	-1507.01649820113	-913.604030251232
541_seed.data	-1958.7161035971	-1262.42274764886
542_seed.data	-1634.79176339105	-879.338531621489
543_seed.data	-1662.89768077225	-1065.42116263173
544_seed.data	-1812.86789469788	-1190.61319144241
545_seed.data	-1555.73120577338	-1004.44867157751
546_seed.data	-1693.22104563134	-1080.49134925144
547_seed.data	-1804.18597300429	-1162.63201845399
548_seed.data	-1583.36600809957	-988.599857972445
549_seed.data	-1618.76237428829	-1048.6947765493
550_seed.data	-1788.04858566247	-1088.44806635182
551_seed.data	-1501.43709535031	-976.832593153264
552_seed.data	-1911.63371354017	-1225.46939088272
553_seed.data	-1685.96566144457	-1077.2360961824
554_seed.data	-1857.21789568471	-1000.40680562689
555_seed.data	-1601.0185828121	-1009.17563110644
556_seed.data	-1944.36472111151	-1087.36596551577
557_seed.data	-1882.85483330951	-1214.54514380047
558_seed.data	-1939.58955475439	-1244.26425796379
559_seed.data	-1676.40163087074	-921.439477919249
560_seed.data	-1939.44450553204	-1346.75283585124
561_seed.data	-1848.92548966137	-1068.73781045296
562_seed.data	-1777.27607990373	-1097.62188494909
563_seed.data	-1818.46062852644	-1191.73714125412
